Thread ID: 2148303280
Total: 0.031087

 %self     total     self     wait    child    calls  name
  0.35      0.01     0.00     0.00     0.01        9  <Class::FlexGen::ModelBuilder::BuilderContext>#containmentRefs (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:280}
  0.34      0.00     0.00     0.00     0.00        6  FlexGen::ECore::EClass::ClassModule#eAllAttributes ((eval):2}
  0.33      0.00     0.00     0.00     0.00        9  FlexGen::ECore::EClass::ClassModule#eAllReferences_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:154}
  0.33      0.00     0.00     0.00     0.00       18  FlexGen::ECore::ETypedElement::ClassModule#upperBound ((eval):2}
  0.32      0.01     0.00     0.00     0.01        1  FlexGen::ModelBuilder::BuilderContext#method_missing(d3) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  0.32      0.00     0.00     0.00     0.00       69  Kernel#== (ruby_runtime:0}
  0.31      0.00     0.00     0.00     0.00        5  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes(d2) ((eval):2}
  0.31      0.03     0.00     0.00     0.03        1  FlexGen::ModelBuilder::BuilderContext#method_missing (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  0.30      0.00     0.00     0.00     0.00       54  Kernel#class (ruby_runtime:0}
  0.30      0.00     0.00     0.00     0.00       10  FlexGen::MetamodelBuilder::MMBase#initialize (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/metamodel_builder.rb:186}
  0.30      0.00     0.00     0.00     0.00        9  FlexGen::ECore::ETypedElement::ClassModule#many_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:36}
  0.29      0.00     0.00     0.00     0.00       18  Enumerable#find (ruby_runtime:0}
  0.29      0.00     0.00     0.00     0.00        9  Kernel#puts (ruby_runtime:0}
  0.27      0.00     0.00     0.00     0.00       25  String#upcase (ruby_runtime:0}
  0.26      0.00     0.00     0.00     0.00       11  Class#new (ruby_runtime:0}
  0.25      0.00     0.00     0.00     0.00        7  FlexGen::NameHelper#firstToUpper (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/name_helper.rb:16}
  0.24      0.00     0.00     0.00     0.00       21  FlexGen::ECore::ETypedElement::ClassModule#eType ((eval):2}
  0.23      0.00     0.00     0.00     0.00        7  FlexGen::MetamodelBuilder::BuilderRuntime#addGeneric (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/metamodel_builder/builder_runtime.rb:21}
  0.23      0.00     0.00     0.00     0.00       19  Hash#has_key? (ruby_runtime:0}
  0.23      0.00     0.00     0.00     0.00        7  FlexGen::ECore::EClass::ClassModule#eAllAttributes_derived(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:148}
  0.21      0.00     0.00     0.00     0.00       25  String#+ (ruby_runtime:0}
  0.21      0.00     0.00     0.00     0.00        7  FlexGen::ECore::EClass::ClassModule#eAllReferences_derived(d1) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:154}
  0.20      0.00     0.00     0.00     0.00       32  Kernel#object_id (ruby_runtime:0}
  0.20      0.00     0.00     0.00     0.00        6  FlexGen::ECore::EClass::ClassModule#eAllAttributes_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:148}
  0.19      0.00     0.00     0.00     0.00       33  Array#last (ruby_runtime:0}
  0.19      0.00     0.00     0.00     0.00       36  Array#first (ruby_runtime:0}
  0.17      0.00     0.00     0.00     0.00        5  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes_derived(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:160}
