Thread ID: 2148303280
Total: 0.067370

 %self     total     self     wait    child    calls  name
  0.40      0.00     0.00     0.00     0.00      168  Kernel#class (ruby_runtime:0}
  0.40      0.00     0.00     0.00     0.00      186  Kernel#== (ruby_runtime:0}
  0.39      0.00     0.00     0.00     0.00       28  FlexGen::ECore::ETypedElement::ClassModule#many_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:36}
  0.39      0.00     0.00     0.00     0.00       68  Array#include? (ruby_runtime:0}
  0.37      0.00     0.00     0.00     0.00      118  Symbol#to_s (ruby_runtime:0}
  0.35      0.02     0.00     0.00     0.02       28  <Class::FlexGen::ModelBuilder::BuilderContext>#containmentRefs (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:280}
  0.34      0.00     0.00     0.00     0.00       29  FlexGen::MetamodelBuilder::MMBase#initialize (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/metamodel_builder.rb:186}
  0.33      0.00     0.00     0.00     0.00       23  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes_derived(d2) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:160}
  0.31      0.00     0.00     0.00     0.00       31  FlexGen::ECore::EClass::ClassModule#eReferences_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:166}
  0.31      0.00     0.00     0.00     0.00       28  FlexGen::MetamodelBuilder::BuilderRuntime#addGeneric (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/metamodel_builder/builder_runtime.rb:21}
  0.31      0.00     0.00     0.00     0.00       96  String#[] (ruby_runtime:0}
  0.30      0.01     0.00     0.00     0.01        3  FlexGen::ModelBuilder::BuilderContext#method_missing(d3) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:53}
  0.28      0.00     0.00     0.00     0.00        8  ASMetaModel::Actor::ClassModule#addSignals ((eval):2}
  0.27      0.00     0.00     0.00     0.00       10  FlexGen::ECore::EClass::ClassModule#eAllSuperTypes(d3) ((eval):2}
  0.26      0.00     0.00     0.00     0.00       20  IO#write (ruby_runtime:0}
  0.26      0.00     0.00     0.00     0.00      114  Array#first (ruby_runtime:0}
  0.26      0.01     0.00     0.00     0.01       10  FlexGen::ECore::EClass::ClassModule#eAllReferences ((eval):2}
  0.26      0.00     0.00     0.00     0.00       10  FlexGen::ECore::EClass::ClassModule#eAllReferences(d1) ((eval):2}
  0.25      0.00     0.00     0.00     0.00       30  Class#new (ruby_runtime:0}
  0.25      0.00     0.00     0.00     0.00       39  Hash#has_key? (ruby_runtime:0}
  0.24      0.00     0.00     0.00     0.00       20  FlexGen::ModelBuilder::BuilderContext::ExtensionContainerFactory#extensionContainer (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/model_builder/builder_context.rb:132}
  0.22      0.00     0.00     0.00     0.00        8  Array#method_missing(d4) (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/array_extensions.rb:12}
  0.22      0.00     0.00     0.00     0.00        8  FlexGen::ECore::EClass::ClassModule#eAllAttributes(d1) ((eval):2}
  0.22      0.00     0.00     0.00     0.00      108  Kernel#eql? (ruby_runtime:0}
  0.22      0.00     0.00     0.00     0.00       21  FlexGen::ECore::EClass::ClassModule#eAttributes_derived (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore.rb:163}
  0.21      0.01     0.00     0.00     0.01        8  FlexGen::ECore::EClass::ClassModule#eAllAttributes ((eval):2}
  0.21      0.01     0.00     0.00     0.01       20  FlexGen::ECore::EPackage::ClassModule#eClasses (/opt/local/lib/ruby/gems/1.8/gems/flexgen-0.0.1/lib/flexgen/ecore/ecore_ext.rb:36}
  0.21      0.00     0.00     0.00     0.00       82  Array#last (ruby_runtime:0}
